judul,label,sumber,kategori,title_length
SALAH Toyota Rilis Mobil Tenaga Air,FAKE,TurnBackHoax.id,News,35
SALAH TNI Berhasil Rebut Pos Militer Israel di Gaza,FAKE,TurnBackHoax.id,News,51
SALAH Indonesia Jadi Tuan Rumah Ronde 4 Kualifikasi Piala Dunia 2026 Zona Asia,FAKE,TurnBackHoax.id,News,78
PENIPUAN Tautan Lowongan Kerja PP Presisi,FAKE,TurnBackHoax.id,News,41
SALAH Jerman Lancarkan Serangan ke Israel,FAKE,TurnBackHoax.id,News,41
SALAH India Ancam Indonesia Agar Tidak Ikut Campur Urusan India-Pakistan,FAKE,TurnBackHoax.id,News,72
SALAH Prabowo Perbolehkan Aceh Kibarkan Bendera Bulan Bintang,FAKE,TurnBackHoax.id,News,61
SALAH Indro Warkop Tegur Rocky Gerung karena Mengkritik KDM,FAKE,TurnBackHoax.id,News,59
SALAH FIFA Putuskan Jepang Jadi Tuan Rumah Piala Dunia 2026 Gantikan Qatar dan Arab,FAKE,TurnBackHoax.id,News,83
SALAH Video Serangan AS terhadap Situs Nuklir Iran di Fordow,FAKE,TurnBackHoax.id,News,60
SALAH Pesawat Bantuan China Untuk Gaza Lewat Wilayah Israel,FAKE,TurnBackHoax.id,News,59
SALAH Kaisar Jepang Sepakat Kirim Pesawat Militer Bantu Iran,FAKE,TurnBackHoax.id,News,60
SALAH Megawati Menjerit karena Skandal Korupsi Indosat dan Jual Pulau Diusut KPK,FAKE,TurnBackHoax.id,News,80
SALAH Kapal Tanker Terbakar karena Iran Melarang Selat Hormuz untuk Dilewati,FAKE,TurnBackHoax.id,News,76
"SALAH Juni 2025, Pangeran Arab Al Waleed Bangun dari Koma",FAKE,TurnBackHoax.id,News,57
SALAH Kebakaran di Tel Aviv karena Bombardir Iran ke Israel,FAKE,TurnBackHoax.id,News,59
SALAH Mulai 2026 Tanah Tanpa Sertifikat Akan Diambil Alih Negara,FAKE,TurnBackHoax.id,News,64
SALAH Amerika Kirim Pesawat Pembom ke Israel,FAKE,TurnBackHoax.id,News,44
"SALAH FIFA Blacklist Iran dan Tunjuk Indonesia ke Piala Dunia, PSSI menolak",FAKE,TurnBackHoax.id,News,75
SALAH Wali Kota Boston Keturunan Indonesia,FAKE,TurnBackHoax.id,News,42
SALAH Kabut di Jabodetabek Adalah Rekayasa agar Kasus TBC Meningkat,FAKE,TurnBackHoax.id,News,67
SALAH Pengeboman Israel di Sekitar Persembunyian Pemimpin Tertinggi Iran Ayatollah Ali Khamenei,FAKE,TurnBackHoax.id,News,95
SALAH Tom Lembong Dibebaskan Tanpa Syarat,FAKE,TurnBackHoax.id,News,41
SALAH Video Warga Israel Mengungsi,FAKE,TurnBackHoax.id,News,34
SALAH Video Ibu Kota Israel Tel Aviv Luluh Lantak,FAKE,TurnBackHoax.id,News,49
SALAH Video Serangan Iran ke Gedung Parlemen Israel,FAKE,TurnBackHoax.id,News,51
SALAH Video Uji Coba Nuklir Iran Sebabkan Ledakan di Gurun dan Laut,FAKE,TurnBackHoax.id,News,67
SALAH Kades di Garut Beli Jet Pribadi Pakai Dana Desa,FAKE,TurnBackHoax.id,News,53
SALAH Shin Tae-yong Kembali ke PSSI,FAKE,TurnBackHoax.id,News,35
SALAH Tangkapan Layar Post Gelora.co dengan Foto Jokowi Terkena Penyakit Kusta,FAKE,TurnBackHoax.id,News,78
SALAH Rudal Indonesia Siap Dikirim ke Iran,FAKE,TurnBackHoax.id,News,42
SALAH Syarat Beli Rumah Subsidi: Punya Gaji Rp14 Juta,FAKE,TurnBackHoax.id,News,53
SALAH Tangkapan Layar Artikel MUI Mendukung Serangan Israel ke Iran,FAKE,TurnBackHoax.id,News,67
"Ratusan UMKM Go Digital, Ini Perjalanan Kiki Abdul Rachman Merintis Dimaloka",REAL,Kompas.com,News,76
"Kenalkan Reverse Engineering di Jambore IRCC, KAI Perkuat Kinerja Operasional Kereta Lama",REAL,Kompas.com,News,89
"ASEAN U-23 Mandiri Cup 2025: Kalahkan Filipina, Peluang Semifinal Indonesia Terbuka Lebar",REAL,Kompas.com,News,89
VIKVisualInteraktifKompas,REAL,Kompas.com,News,25
"2 Promo Liburan ke Jepang, Tiket Pesawat Murah dan Cashback sampai Rp 26,4 Juta",REAL,Kompas.com,News,79
BERITA FOTO Perjuangan Port FC Juara Piala Presiden 2025 Bekuk Oxford United,REAL,Kompas.com,News,76
"Tom Lembong Divonis 4,5 Tahun Penjara",REAL,Kompas.com,News,37
Cerita Jeffrie PSI Minta Ada Darah Jokowi agar Partainya Tidak Mati,REAL,Kompas.com,News,67
"Dirawat di RSPAD, SBY Dikabarkan Sakit Ringan dan Tinggal Pemulihan",REAL,Kompas.com,News,67
PSI: Jokowi Bagian dari Kita Hari Ini,REAL,Kompas.com,News,37
Proses Penempatan 24 Dubes Tunggu Persetujuan Negara Tujuan,REAL,Kompas.com,News,59
"Wamenlu: Kalau MK Katakan Tak Boleh Rangkap Jabatan, Ya Bagaimana Lagi?",REAL,Kompas.com,News,71
Cerita Pendiri PSI Minta Dibuatkan Logo ke Jokowi,REAL,Kompas.com,News,49
Pendiri PSI Cerita Ade Armando Dapat Belasan Jahitan: Nyaris Saja...,REAL,Kompas.com,News,68
SBY Dirawat di RSPAD Gatot Soebroto,REAL,Kompas.com,News,35
"Anies Baswedan Disebut-sebut di Kongres PSI 2025, Solo",REAL,Kompas.com,News,54
Suara Gajah Terdengar di Arena Kongres PSI 2025,REAL,Kompas.com,News,47
Mayat Perempuan Ditemukan di Cisauk dalam Kondisi Tangan Terborgol,REAL,Kompas.com,News,66
Transjakarta Rute Blok M- Ancol Ditargetkan Launching Agustus 2025,REAL,Kompas.com,News,66
"Enggan Langsung Tinjau Kebakaran di Tebet, Rano Karno: Kalau Saya Datang Malah Bikin Kisruh",REAL,Kompas.com,News,91
Pelanggaran Operasi Patuh Jaya 2025 di Bekasi Didominasi Pengendara Lawan Arah,REAL,Kompas.com,News,78
Kronologi Kebakaran Rumah di Tebet yang Tewaskan 4 Bocah,REAL,Kompas.com,News,56
Orangtua Korban Kebakaran di Tebet Sempat Minta Tolong Petugas Selamatkan Anaknya yang Terjebak,REAL,Kompas.com,News,95
"ASN DKI Wajib Olahraga Tiap Jumat, Rano Karno: Ingub Sudah Ada, Mau Saya Galakkan Lagi",REAL,Kompas.com,News,86
Jenazah 4 Bocah Korban Kebakaran di Tebet Dibawa ke RS Polri,REAL,Kompas.com,News,60
4 Bocah Tewas dalam Kebakaran Rumah di Tebet Diduga Terjebak di Lantai 2,REAL,Kompas.com,News,72
Kebakaran Rumah di Tebet yang Tewaskan 4 Bocah Diduga akibat Korsleting,REAL,Kompas.com,News,71
"4 Bocah Tewas dalam Kebakaran di Tebet, 2 Kakak-Adik",REAL,Kompas.com,News,52
"Identitas 4 Korban Tewas Kebakaran di Tebet, Semua di Bawah Umur",REAL,Kompas.com,News,64
Gunung Ile Lewotolok Meletus 99 Kali Disertai Dentuman Kuat dalam 12 Jam,REAL,Kompas.com,News,72
"Riau Dikepung Karhutla, Asapnya Mengarah ke Malaysia",REAL,Kompas.com,News,52
Komunikasi Publik Dedi Mulyadi di Balik Musibah: Tak Tahu Ada Makan Gratis?,REAL,Kompas.com,News,75
Dedi Mulyadi Tegaskan Peristiwa Maut di Garut di Luar Rencana Awal Syukuran Pernikahan Anaknya,REAL,Kompas.com,News,94
Kongres PSI 2025: Jeffrie Geovanie Bahas Cebong dan Kampret,REAL,Kompas.com,News,59
"Gempa M 5,3 Guncang Banggai Kepulauan, Terasa hingga Gorontalo, Tak Berpotensi Tsunami",REAL,Kompas.com,News,86
Gus Miftah Beri Hadiah Umrah Guru Madin yang Dituntut Bayar Rp 25 Juta Usai Tampar Siswa,REAL,Kompas.com,News,88
"Penataan Car Free Day Solo: PKL Dilarang Berjualan, Pengunjung Tak Boleh Merokok",REAL,Kompas.com,News,80
Kongres PSI 2025: Kaesang Disebut Jadi Penggagas Pemilihan Raya Ketum,REAL,Kompas.com,News,69
Dedi Mulyadi Dukung Polda Jabar Selidiki Acara Pesta Rakyat Pernikahan Anaknya,REAL,Kompas.com,News,78
"Jeffrie Geovanie: Siapa Pun yang Menang, Harus Tetap Bersama Membangun PSI",REAL,Kompas.com,News,74
Jeffrie Geovanie Bilang PSI Bakal Mati Tanpa Keluarga Jokowi,REAL,Kompas.com,News,60
Eks Presiden Brasil Bolsonaro Harus Pakai Gelang Kaki agar Tak Kabur dari Penyelidikan,REAL,Kompas.com,News,86
"Usai Gereja Katolik di Gaza Diserang Israel, Uskup Agung Beri Bantuan",REAL,Kompas.com,News,69
"Peras Biksu Pakai Video Seks, Perempuan Thailand Ditangkap Polisi",REAL,Kompas.com,News,65
Pria Jepang Jual Ferrari dan Tutup Perusahaan Demi Selamatkan Anjing,REAL,Kompas.com,News,68
"Israel dan Suriah Akhirnya Gencatan Senjata, AS Jadi Mediator",REAL,Kompas.com,News,61
"Trump Gugat Sejumlah Media, Tuding Cemarkan Nama Baik",REAL,Kompas.com,News,53
"Pakai Kalung Rantai Besi, Pria 61 Tahun Tewas Terisap Mesin MRI",REAL,Kompas.com,News,63
"Andy Byron Ketahuan Selingkuh, Astronomer Buka Suara: Pemimpin Harusnya Beri Teladan",REAL,Kompas.com,News,84
Menggaungkan Suara Lebih Lantang dari Negara-negara di Selatan Dunia,REAL,Kompas.com,News,68
"Tak Hanya CEO Astronomer, Sederet Kepala Negara Ini Juga Ketahuan Selingkuh",REAL,Kompas.com,News,75
Kim Jong Un Cegah Wisatawan Asing Masuk Resor Pantai Usai Diresmikan,REAL,Kompas.com,News,68
"Rumah Eks Presiden Brasil Digeledah Polisi, Dituduh Rencanakan Kudeta",REAL,Kompas.com,News,69
"Investasi Apple Rp 2,6 Triliun di RI Bisa Batal, Imbas Trump Pangkas Tarif Jadi 19 Persen, Kok Bisa?",REAL,Kompas.com,News,100
"Ketika Trump Tekan The Fed, G20 Kembali Angkat Isu Kedaulatan Moneter",REAL,Kompas.com,News,69
Mengenal Early Redemption SBR014: Bisa Cairkan Investasi Sebelum Jatuh Tempo,REAL,Kompas.com,News,76
Mengenal myBCA Keyboard: Cek Saldo hingga Transfer Tanpa Buka Aplikasi,REAL,Kompas.com,News,70
BP Tapera: Rumah Subsidi Makin Jauh dari Kota Kalau Tak Naik Harga,REAL,Kompas.com,News,66
Bank Indonesia Dorong Sistem Pembayaran Lintas Negara di G20,REAL,Kompas.com,News,60
Cara Cek Penerima PIP 2025 dan Info Kontak Resmi Jika Dana Belum Cair,REAL,Kompas.com,News,69
"RI Impor Minyak Mentah, Bensin, dan LPG dari AS, Kemenko: Kita Tidak Dipaksa Beli, Ada Hitungannya",REAL,Kompas.com,News,98
"Daftar 29 Orang Terkaya Indonesia Terbaru, Prajogo Pangestu Makin Tinggalkan Low Tuck Kwong",REAL,Kompas.com,News,91
Saham BCA Anjlok ke Level Terendah dalam Sebulan,REAL,Kompas.com,News,48
"Game Upin Ipin Universe Resmi Dirilis di PlayStation, Switch, dan PC, Ini Harganya",REAL,Kompas.com,News,82
Cara Melihat Password WiFi di PC dan Laptop Windows,REAL,Kompas.com,News,51
"Aturan Stablecoin Disahkan, Pemerintah AS mulai Atur Kripto Rasa Dollar",REAL,Kompas.com,News,71
"Sony RX1R III Meluncur setelah 10 Tahun, Kamera Compact Full-Frame 61 MP",REAL,Kompas.com,News,72
CEO Instagram Adam Mosseri Tak Lagi Pimpin Threads,REAL,Kompas.com,News,50
4 Fitur AI yang Bisa Diakses Langsung dari Cover Screen Samsung Galaxy Z Flip 7,REAL,Kompas.com,News,79
"Hasil Kamera Samsung Galaxy Z Flip 7: Detail, Cerah, dan Cocok untuk Pengguna Kasual",REAL,Kompas.com,News,84
"Menjajal Kamera 200 MP Samsung Galaxy Z Fold 7, Detail Maksimal dan Tajam",REAL,Kompas.com,News,73
"4 Fitur Kesehatan Baru di Samsung Galaxy Watch 8 Series, Ada Pelatih Lari Pribadi",REAL,Kompas.com,News,81
"Bahas Desain Eksterior Honda HR-V RS e:HEV, Terkesan Lebih Tangguh",REAL,Kompas.com,News,66
Bagus Susanto Ditunjuk Jadi Bos GWM Indonesia,REAL,Kompas.com,News,45
"Jangan Salah, Begini Cara Benar Pakai APAR Saat Mobil Terbakar",REAL,Kompas.com,News,62
"Jangan Langsung Isi Freon AC Mobil, Cek Dulu Ada Kebocoran atau Tidak",REAL,Kompas.com,News,69
"Konversi Toyota Starlet EP81 ke EP82, Gaya Jepang yang Penuh Detail",REAL,Kompas.com,News,67
Tanda Kondensor AC Mobil Sudah Minta Diganti,REAL,Kompas.com,News,44
"5 Fakta di Balik Dress Sheila Dara di Film SORE, Diproses dengan Indigo Dye",REAL,Kompas.com,News,75
4 Inspirasi Outfit Kerja Gaya Old Money yang Elegan dan Timeless,REAL,Kompas.com,News,64
Mengenal Kemenyan yang Disebut Gibran Saat Menyentil Pengguna Parfum LV dan Gucci,REAL,Kompas.com,News,81
"Gaya F4 Saat Reuni Dadakan, Kompak Pakai Outfit Serba Gelap",REAL,Kompas.com,News,59
8 Zodiak yang Gampang Salah Tingkah Saat Dekat Orang yang Disukai,REAL,Kompas.com,News,65
"Orangtua Perlu Tahu, Ini Risiko Anak Naik Sepeda Listrik dan Aturan Resminya",REAL,Kompas.com,News,76
Kenapa Sebaiknya Memaafkan Orangtua Sebelum Jadi Orangtua?,REAL,Kompas.com,News,58
"Andai Hewan Peliharan Bisa Jadi Manusia, Ini Harapan Pemilik Anabul",REAL,Kompas.com,News,67
"4 Tips Olahraga Padel yang Aman, Cegah Risiko Cedera",REAL,Kompas.com,News,52
"45 Desainer Hadir di JF3 Fashion Festival, Ada Victor Clavelly dari Perancis",REAL,Kompas.com,News,76
"Cerita Atie Nitiasmoro Ikut Lestarikan Kebaya, Sempat Dicemooh",REAL,Kompas.com,News,62
"Pemain Padel Catat, Ini Cara Menyembuhkan Elbow Epicondylitis",REAL,Kompas.com,News,61
"Bukan Sekadar Varises, Ini Bahaya Chronic Venous Insufficiency yang Dialami Trump",REAL,Kompas.com,News,81
"Donald Trump Alami Chronic Venous Insufficiency, Ini Penjelasan Kondisinya",REAL,Kompas.com,News,74
"Warga Pamekasan Positif COVID-19, Pemkab Keluarkan Surat Edaran Kewaspadaan",REAL,Kompas.com,News,75
"Banyak Dokter, Memangnya Kita Sehat?",REAL,Kompas.com,News,36
"Kasus Covid-19 Naik di AS, Varian Nimbus Jadi Pemicu Lonjakan Terbaru",REAL,Kompas.com,News,69
"14 Juta Anak di Dunia Tak Pernah Divaksin, WHO Peringatkan Ancaman Wabah Global",REAL,Kompas.com,News,79
"Waspada Pneumonia, Dokter Imbau Vaksinasi untuk Turunkan Risiko Kematian",REAL,Kompas.com,News,72
"Suplemen Herbal Tak Selalu Aman, Dokter Temukan Kasus Kerusakan Hati Akibat Kunyit",REAL,Kompas.com,News,82
"Lari Bisa Jadi Bumerang Jika Abaikan Sinyal Tubuh, Ini Gejala yang Harus Diwaspadai",REAL,Kompas.com,News,83
"Pentingnya Deteksi Dini Penyakit Jantung pada Pelari Muda, Ini Penjelasan Dokter",REAL,Kompas.com,News,80
Sekjen HIPMI Puji Diplomasi Prabowo ke AS: Peluang Besar Dunia Usaha,REAL,CNN Indonesia,Ekonomi,68
Bank Mandiri Komitmen Perkuat Ekonomi Desa Lewat Koperasi Merah Putih,REAL,CNN Indonesia,Ekonomi,69
"VIDEO: Palo Volador, Tarian Tiang Gerbang dari Guatemala",REAL,CNN Indonesia,News,56
CEO dan Kepala HRD Astronomer yang Selingkuh Diberhentikan Sementara,REAL,CNN Indonesia,Teknologi,68
SBY Jalani Perawatan di RSPAD Gatot Soebroto,REAL,CNN Indonesia,Nasional,44
VIDEO: Terpesona Alta Moda dan Alta Sartoria dari Dolce Gabbana,REAL,CNN Indonesia,News,63
"Cerita Jeffrie Geovanie, Jokowi, dan Logo Gajah PSI",REAL,CNN Indonesia,Nasional,51
"Kandidat Ketua Umum PSI Tiba di Kongres, Kaesang Lewat Pintu Berbeda",REAL,CNN Indonesia,Nasional,68
"Dari Status Medsos Butuh Kerja , Puspa Dijual Sindikat TPPO Kamboja",REAL,CNN Indonesia,Nasional,67
Polisi Olah TKP Tewasnya 3 Orang di Pernikahan Anak Dedi Mulyadi,REAL,CNN Indonesia,Nasional,64
Fakta-fakta 3 Tewas di Pernikahan Anak Dedi Mulyadi,REAL,CNN Indonesia,Nasional,51
Trump Klaim 10 Sandera Segera Dibebaskan dari Gaza,REAL,CNN Indonesia,Internasional,50
"Pernah Lompat dari Stratosfer, Skydiver Austria Tewas Tragis di Italia",REAL,CNN Indonesia,Internasional,70
VIDEO: Pernyataan Hamas Soal Gencatan Senjata Sementara di Gaza,REAL,CNN Indonesia,Internasional,63
Trump Gugat Wall Street Journal dan Murdoch Buntut Berita Epstein,REAL,CNN Indonesia,Internasional,65
"Geger Rumah Eks Presiden Brasil Digeledah, Ada Apa?",REAL,CNN Indonesia,Internasional,51
Ekonom Sebut Fenomena Rojali Mirip Krisis 2008 Menggelayuti Ekonomi RI,REAL,CNN Indonesia,Ekonomi,70
Fantastis! Cucu Crazy Rich RI Beli Rumah Harga Rp407 Miliar,REAL,CNN Indonesia,Ekonomi,59
"Vale Batal Tunjuk Presdir Baru di RUPSLB, Ini Alasannya",REAL,CNN Indonesia,Ekonomi,55
Tips Kelola Modal Bisnis Agar Tak Terlilit Utang Seperti Syakir Daulay,REAL,CNN Indonesia,Ekonomi,70
"Dikenai Pajak Hiburan 10 Persen, Lapangan Padel Masih Diburu",REAL,CNN Indonesia,Ekonomi,60
Bank Mandiri Lengkapi Ekosistem Timnas di ASEAN U-23 Mandiri Cup 2025,REAL,CNN Indonesia,Ekonomi,69
"Punya Citra Futuristik, Kenapa Jepang Tertinggal dalam Digitalisasi?",REAL,CNN Indonesia,Teknologi,68
Menkomdigi Bantah Wacana Pembatasan WhatsApp Call dan Video Call,REAL,CNN Indonesia,Teknologi,64
Astronomer Bantah Andy Byron Rilis Pernyataan Selepas Viral Selingkuh,REAL,CNN Indonesia,Teknologi,69
Erdogan ke Putin: Bentrokan di Suwayda Suriah ancam keamanan kawasan,REAL,Antara News,News,68
Wamenbud: Museum garda terdepan dari diplomasi budaya Indonesia,REAL,Antara News,News,63
Polisi bongkar peredaran sabu dalam kemasanbekas minuman di Serang,REAL,Antara News,News,66
Korban empat tewas kebakaran Tebet adalah anak-anak,REAL,Antara News,News,51
BMKG: Suhu minimum di Dieng capai minus 2 derajat celcius,REAL,Antara News,News,57
"Paus telepon Netanyahu, serukan lindungi tempat ibadah, damai di Gaza",REAL,Antara News,News,69
Film Believe munculkan aksi laga Kapten Agus yang mendebarkan,REAL,Antara News,News,61
FKDT: Indonesia harus berterima kasih pada ustaz Madrasah Diniyah,REAL,Antara News,News,65
"Suwayda masih bergejolak, bentrokan Druze dan Badui belum mereda",REAL,Antara News,News,64
Dokter nilai teknologi bedah robotik Da Vinci Xi bukan sekedar alat,REAL,Antara News,News,67
Polres Cirebon Kota amankan 97 pemuda saat razia balap liar,REAL,Antara News,News,59
Pemprov PBD: SPPI jadi ujung tombak penanggulangan stunting,REAL,Antara News,News,59
PKB rayakan HUT ke-27 dengan gelar Kalokarya,REAL,Antara News,News,44
"Gibran sampaikan terima kasih ke orang tua, percayakan anak sekolah SR",REAL,Antara News,News,70
"Politik kemarin, dari pembangunan IKN hingga Gibran di Kongres PSI",REAL,Antara News,News,66
Wapres jelaskan HUT RI hanya di Jakarta: IKN masih fokus pembangunan,REAL,Antara News,News,68
TNI bangun kerja sama militer di tengah momentum Bastille Day,REAL,Antara News,News,61
"Trump umumkan kesepakatan tarif, Prabowo buktikan kelasnya",REAL,Antara News,News,58
Mentrans serahkan 400 SHM kepada 200 transmigran di Sumba Timur,REAL,Antara News,News,63
Pengusaha tekstil nilai tarif 19 persen perkuat akses pasar ke AS,REAL,Antara News,News,65
Airlangga dorong pengembangan investasi Temasek Holdings di Indonesia,REAL,Antara News,News,69
Vale (INCO) jadwalkan ulang RUPSLB penunjukan presdir baru,REAL,Antara News,News,58
Yogyakarta siapkan lokasi servis becak listrik di Malioboro,REAL,Antara News,News,59
Perlu upaya serius kurangi ketergantungan impor pertanian,REAL,Antara News,News,57
Kecerdasan buatan dan hak cipta: tantangan baru bagi musik Indonesia,REAL,Antara News,News,68
