judul,label,sumber,kategori,title_length
VIDEO: Pernyataan Hamas Soal Gencatan Senjata Sementara di Gaza,REAL,CNN Indonesia,Internasional,63
Airlangga dorong pengembangan investasi Temasek Holdings di Indonesia,REAL,Antara News,News,69
Fantastis! Cucu Crazy Rich RI Beli Rumah Harga Rp407 Miliar,REAL,CNN Indonesia,Ekonomi,59
SALAH Pesawat Tempur Israel Jatuh di Tanjung Balai,FAKE,TurnBackHoax.id,News,50
SALAH Prabowo Utus Gibran ke Pedalaman Papua untuk Tugas Perdamaian,FAKE,TurnBackHoax.id,News,67
"Kasus Covid-19 Naik di AS, Varian Nimbus Jadi Pemicu Lonjakan Terbaru",REAL,Kompas.com,News,69
PENIPUAN Tautan Pendaftaran Bantuan Program Indonesia Pintar (PIP),FAKE,TurnBackHoax.id,News,66
SALAH Indonesia Jadi Tuan Rumah Ronde 4 Kualifikasi Piala Dunia 2026 Zona Asia,FAKE,TurnBackHoax.id,News,78
"4 Bocah Tewas dalam Kebakaran di Tebet, 2 Kakak-Adik",REAL,Kompas.com,News,52
PENIPUAN Bantuan Modal Usaha dari Qatar Charity Indonesia,FAKE,TurnBackHoax.id,News,57
Gunung Ile Lewotolok Meletus 99 Kali Disertai Dentuman Kuat dalam 12 Jam,REAL,Kompas.com,News,72
"Dari Status Medsos Butuh Kerja , Puspa Dijual Sindikat TPPO Kamboja",REAL,CNN Indonesia,Nasional,67
SALAH Toyota Rilis Mobil Tenaga Air,FAKE,TurnBackHoax.id,News,35
"Usai Gereja Katolik di Gaza Diserang Israel, Uskup Agung Beri Bantuan",REAL,Kompas.com,News,69
"Gibran sampaikan terima kasih ke orang tua, percayakan anak sekolah SR",REAL,Antara News,News,70
PENIPUAN Pendaftaran Loker Mayora Group Lewat Google Docs,FAKE,TurnBackHoax.id,News,57
"Pakai Kalung Rantai Besi, Pria 61 Tahun Tewas Terisap Mesin MRI",REAL,Kompas.com,News,63
SALAH Ono Surono Didemo karena Mau Memecah Jawa Barat Menjadi Lima Provinsi,FAKE,TurnBackHoax.id,News,75
"SALAH Rusia Bantu Iran, Nyatakan Perang terhadap Israel dan AS",FAKE,TurnBackHoax.id,News,62
SALAH Kades di Garut Beli Jet Pribadi Pakai Dana Desa,FAKE,TurnBackHoax.id,News,53
Menkomdigi Bantah Wacana Pembatasan WhatsApp Call dan Video Call,REAL,CNN Indonesia,Teknologi,64
PENIPUAN Buya Yahya Bagi-Bagi Uang,FAKE,TurnBackHoax.id,News,34
Dokter nilai teknologi bedah robotik Da Vinci Xi bukan sekedar alat,REAL,Antara News,News,67
"5 Fakta di Balik Dress Sheila Dara di Film SORE, Diproses dengan Indigo Dye",REAL,Kompas.com,News,75
SALAH Prabowo Menyatakan SIM Berlaku Seumur Hidup,FAKE,TurnBackHoax.id,News,49
"Jangan Langsung Isi Freon AC Mobil, Cek Dulu Ada Kebocoran atau Tidak",REAL,Kompas.com,News,69
"Waspada Pneumonia, Dokter Imbau Vaksinasi untuk Turunkan Risiko Kematian",REAL,Kompas.com,News,72
Tanda Kondensor AC Mobil Sudah Minta Diganti,REAL,Kompas.com,News,44
SALAH Tangkapan Layar Post Gelora.co dengan Foto Jokowi Terkena Penyakit Kusta,FAKE,TurnBackHoax.id,News,78
SALAH Klaim Video Peluncuran Rudal Hipersonik,FAKE,TurnBackHoax.id,News,45
Cara Melihat Password WiFi di PC dan Laptop Windows,REAL,Kompas.com,News,51
"Suwayda masih bergejolak, bentrokan Druze dan Badui belum mereda",REAL,Antara News,News,64
Jenazah 4 Bocah Korban Kebakaran di Tebet Dibawa ke RS Polri,REAL,Kompas.com,News,60
SALAH Jerman Lancarkan Serangan ke Israel,FAKE,TurnBackHoax.id,News,41
"Peras Biksu Pakai Video Seks, Perempuan Thailand Ditangkap Polisi",REAL,Kompas.com,News,65
PENIPUAN Tautan Lowongan Kerja PP Presisi,FAKE,TurnBackHoax.id,News,41
"Riau Dikepung Karhutla, Asapnya Mengarah ke Malaysia",REAL,Kompas.com,News,52
SALAH Pengeboman Israel di Sekitar Persembunyian Pemimpin Tertinggi Iran Ayatollah Ali Khamenei,FAKE,TurnBackHoax.id,News,95
SALAH Video Warga Israel Mengungsi,FAKE,TurnBackHoax.id,News,34
SALAH Pesawat Bantuan China Untuk Gaza Lewat Wilayah Israel,FAKE,TurnBackHoax.id,News,59
Mentrans serahkan 400 SHM kepada 200 transmigran di Sumba Timur,REAL,Antara News,News,63
Jeffrie Geovanie Bilang PSI Bakal Mati Tanpa Keluarga Jokowi,REAL,Kompas.com,News,60
PENIPUAN Video Dedi Mulyadi Mempromosikan Pinjol,FAKE,TurnBackHoax.id,News,48
SALAH Kebakaran di Tel Aviv karena Bombardir Iran ke Israel,FAKE,TurnBackHoax.id,News,59
Cerita Pendiri PSI Minta Dibuatkan Logo ke Jokowi,REAL,Kompas.com,News,49
SALAH Mulai 2026 Tanah Tanpa Sertifikat Akan Diambil Alih Negara,FAKE,TurnBackHoax.id,News,64
SALAH Potret Penemuan Baju dan Peralatan Tentara,FAKE,TurnBackHoax.id,News,48
"Pemain Padel Catat, Ini Cara Menyembuhkan Elbow Epicondylitis",REAL,Kompas.com,News,61
Suara Gajah Terdengar di Arena Kongres PSI 2025,REAL,Kompas.com,News,47
Bagus Susanto Ditunjuk Jadi Bos GWM Indonesia,REAL,Kompas.com,News,45
"4 Tips Olahraga Padel yang Aman, Cegah Risiko Cedera",REAL,Kompas.com,News,52
SALAH Video Kendaraan Tempur Indonesia untuk Persiapan Perang Dunia III,FAKE,TurnBackHoax.id,News,71
SALAH Video Ucapan Terima Kasih Tentara Israel untuk Papua,FAKE,TurnBackHoax.id,News,58
"Vale Batal Tunjuk Presdir Baru di RUPSLB, Ini Alasannya",REAL,CNN Indonesia,Ekonomi,55
Proses Penempatan 24 Dubes Tunggu Persetujuan Negara Tujuan,REAL,Kompas.com,News,59
SALAH Dokumentasi Kemarahan Obama karena Trump Ikut Campur Perang Iran vs Israel,FAKE,TurnBackHoax.id,News,80
"Investasi Apple Rp 2,6 Triliun di RI Bisa Batal, Imbas Trump Pangkas Tarif Jadi 19 Persen, Kok Bisa?",REAL,Kompas.com,News,100
Trump Klaim 10 Sandera Segera Dibebaskan dari Gaza,REAL,CNN Indonesia,Internasional,50
PENIPUAN Tautan Pendaftaran Lowongan Kerja Pelita Air,FAKE,TurnBackHoax.id,News,53
PSI: Jokowi Bagian dari Kita Hari Ini,REAL,Kompas.com,News,37
SALAH TNI Berhasil Rebut Pos Militer Israel di Gaza,FAKE,TurnBackHoax.id,News,51
PENIPUAN Video Prabowo Resmikan Pinjol Tanpa Bunga,FAKE,TurnBackHoax.id,News,50
"Israel dan Suriah Akhirnya Gencatan Senjata, AS Jadi Mediator",REAL,Kompas.com,News,61
SALAH Narasi Putin Bakal Bantu Indonesia Jika Diserang Amerika-Israel,FAKE,TurnBackHoax.id,News,69
PENIPUAN Tautan Pendaftaran Lowongan Kerja Bappenas,FAKE,TurnBackHoax.id,News,51
FKDT: Indonesia harus berterima kasih pada ustaz Madrasah Diniyah,REAL,Antara News,News,65
Gus Miftah Beri Hadiah Umrah Guru Madin yang Dituntut Bayar Rp 25 Juta Usai Tampar Siswa,REAL,Kompas.com,News,88
"Punya Citra Futuristik, Kenapa Jepang Tertinggal dalam Digitalisasi?",REAL,CNN Indonesia,Teknologi,68
SALAH Video Petinggi Israel Adu Mulut Usai Iran Serang Balik Israel,FAKE,TurnBackHoax.id,News,67
SALAH Junta Myanmar Ingin Memerangi Indonesia,FAKE,TurnBackHoax.id,News,45
Polisi Olah TKP Tewasnya 3 Orang di Pernikahan Anak Dedi Mulyadi,REAL,CNN Indonesia,Nasional,64
"Gaya F4 Saat Reuni Dadakan, Kompak Pakai Outfit Serba Gelap",REAL,Kompas.com,News,59
SALAH FIFA Beri Sanksi ke Malaysia karena Melanggar Aturan Naturalisasi,FAKE,TurnBackHoax.id,News,71
Fakta-fakta 3 Tewas di Pernikahan Anak Dedi Mulyadi,REAL,CNN Indonesia,Nasional,51
SALAH Video Uji Coba Nuklir Iran Sebabkan Ledakan di Gurun dan Laut,FAKE,TurnBackHoax.id,News,67
SALAH Jepang Blacklist Pekerja Indonesia,FAKE,TurnBackHoax.id,News,40
SALAH Indro Warkop Tegur Rocky Gerung karena Mengkritik KDM,FAKE,TurnBackHoax.id,News,59
SALAH Bambu Petuk di Cianjur Mengeluarkan Air Tanpa Selang atau Pipa,FAKE,TurnBackHoax.id,News,68
Kebakaran Rumah di Tebet yang Tewaskan 4 Bocah Diduga akibat Korsleting,REAL,Kompas.com,News,71
PENIPUAN Maia Estianty Berbagi Uang,FAKE,TurnBackHoax.id,News,35
SALAH PM Israel Sebut Perang Israel dan Iran Hanya Sandiwara,FAKE,TurnBackHoax.id,News,60
"Orangtua Perlu Tahu, Ini Risiko Anak Naik Sepeda Listrik dan Aturan Resminya",REAL,Kompas.com,News,76
"14 Juta Anak di Dunia Tak Pernah Divaksin, WHO Peringatkan Ancaman Wabah Global",REAL,Kompas.com,News,79
SALAH Video Rusia Serang AS karena AS Meledakkan Fasilitas Nuklir Iran,FAKE,TurnBackHoax.id,News,70
SALAH Prabowo Perbolehkan Aceh Kibarkan Bendera Bulan Bintang,FAKE,TurnBackHoax.id,News,61
"Sony RX1R III Meluncur setelah 10 Tahun, Kamera Compact Full-Frame 61 MP",REAL,Kompas.com,News,72
SALAH Video Hukuman Bagi Koruptor di Korea Utara,FAKE,TurnBackHoax.id,News,48
Perlu upaya serius kurangi ketergantungan impor pertanian,REAL,Antara News,News,57
PENIPUAN Program Bantuan Puluhan Juta Rupiah dari Dedi Mulyadi,FAKE,TurnBackHoax.id,News,62
TNI bangun kerja sama militer di tengah momentum Bastille Day,REAL,Antara News,News,61
SALAH Wanita Asal Padang Jadi Presiden Singapura,FAKE,TurnBackHoax.id,News,48
Vale (INCO) jadwalkan ulang RUPSLB penunjukan presdir baru,REAL,Antara News,News,58
BERITA FOTO Perjuangan Port FC Juara Piala Presiden 2025 Bekuk Oxford United,REAL,Kompas.com,News,76
CEO Instagram Adam Mosseri Tak Lagi Pimpin Threads,REAL,Kompas.com,News,50
Mengenal Kemenyan yang Disebut Gibran Saat Menyentil Pengguna Parfum LV dan Gucci,REAL,Kompas.com,News,81
SALAH Artis Randy Pangalila Meninggal Dunia pada 11 Juli 2025,FAKE,TurnBackHoax.id,News,61
SALAH Video Iran Luncurkan Rudal Fattah ke Israel,FAKE,TurnBackHoax.id,News,49
PENIPUAN Tautan Pendaftaran Penghapusan Tunggakan BPJS kesehatan,FAKE,TurnBackHoax.id,News,64
PENIPUAN Pendaftaran Bantuan Indonesia Peduli Bersama untuk Pekerja Migran,FAKE,TurnBackHoax.id,News,74
"Penataan Car Free Day Solo: PKL Dilarang Berjualan, Pengunjung Tak Boleh Merokok",REAL,Kompas.com,News,80
SALAH Amerika Kirim Pesawat Pembom ke Israel,FAKE,TurnBackHoax.id,News,44
PENIPUAN Tautan Cek Status Penerima Bantuan Subsidi Upah Tanpa NIK,FAKE,TurnBackHoax.id,News,66
Saham BCA Anjlok ke Level Terendah dalam Sebulan,REAL,Kompas.com,News,48
"Banyak Dokter, Memangnya Kita Sehat?",REAL,Kompas.com,News,36
SALAH Video Serangan AS terhadap Situs Nuklir Iran di Fordow,FAKE,TurnBackHoax.id,News,60
SALAH Obama Tolak Amerika Ikut Campur Perang Iran,FAKE,TurnBackHoax.id,News,49
SALAH Mantan PM Malaysia Dr Mahathir Mohamad Meninggal pada 14 Juli 2025,FAKE,TurnBackHoax.id,News,72
SALAH Prabowo Resmi Izinkan Rusia Bangun Pangkalan Militer di Indonesia,FAKE,TurnBackHoax.id,News,71
"Suplemen Herbal Tak Selalu Aman, Dokter Temukan Kasus Kerusakan Hati Akibat Kunyit",REAL,Kompas.com,News,82
"Wamenlu: Kalau MK Katakan Tak Boleh Rangkap Jabatan, Ya Bagaimana Lagi?",REAL,Kompas.com,News,71
SALAH Jokowi Meninggal Dunia,FAKE,TurnBackHoax.id,News,28
SALAH Video Buaya Masuk Rumah saat Banjir di Jakarta Selatan,FAKE,TurnBackHoax.id,News,60
Bank Mandiri Komitmen Perkuat Ekonomi Desa Lewat Koperasi Merah Putih,REAL,CNN Indonesia,Ekonomi,69
Kim Jong Un Cegah Wisatawan Asing Masuk Resor Pantai Usai Diresmikan,REAL,Kompas.com,News,68
"Jeffrie Geovanie: Siapa Pun yang Menang, Harus Tetap Bersama Membangun PSI",REAL,Kompas.com,News,74
"Dirawat di RSPAD, SBY Dikabarkan Sakit Ringan dan Tinggal Pemulihan",REAL,Kompas.com,News,67
SALAH Lombok Jadi Target Utama Israel,FAKE,TurnBackHoax.id,News,37
SALAH Kaisar Jepang Sepakat Kirim Pesawat Militer Bantu Iran,FAKE,TurnBackHoax.id,News,60
8 Zodiak yang Gampang Salah Tingkah Saat Dekat Orang yang Disukai,REAL,Kompas.com,News,65
PENIPUAN Tautan Pendaftaran CPNS Kemenhub,FAKE,TurnBackHoax.id,News,41
Polres Cirebon Kota amankan 97 pemuda saat razia balap liar,REAL,Antara News,News,59
SALAH Kabut di Jabodetabek Adalah Rekayasa agar Kasus TBC Meningkat,FAKE,TurnBackHoax.id,News,67
SALAH Putin Kirim Ribuan Pasukan sebagai Fasilitas Pertahanan di Papua,FAKE,TurnBackHoax.id,News,70
SALAH Video Ibu Kota Israel Tel Aviv Luluh Lantak,FAKE,TurnBackHoax.id,News,49
SALAH India Ancam Indonesia Agar Tidak Ikut Campur Urusan India-Pakistan,FAKE,TurnBackHoax.id,News,72
SALAH Video Obama Umumkan Diri sebagai Capres AS 2028,FAKE,TurnBackHoax.id,News,53
4 Bocah Tewas dalam Kebakaran Rumah di Tebet Diduga Terjebak di Lantai 2,REAL,Kompas.com,News,72
"Dikenai Pajak Hiburan 10 Persen, Lapangan Padel Masih Diburu",REAL,CNN Indonesia,Ekonomi,60
"Anies Baswedan Disebut-sebut di Kongres PSI 2025, Solo",REAL,Kompas.com,News,54
SALAH Konten Kreator FB Pro Mengalami Kecelakaan karena Keasikan Siaran Langsung,FAKE,TurnBackHoax.id,News,80
"RI Impor Minyak Mentah, Bensin, dan LPG dari AS, Kemenko: Kita Tidak Dipaksa Beli, Ada Hitungannya",REAL,Kompas.com,News,98
Trump Gugat Wall Street Journal dan Murdoch Buntut Berita Epstein,REAL,CNN Indonesia,Internasional,65
SALAH Jokowi Kritis Masuk Rumah Sakit,FAKE,TurnBackHoax.id,News,37
SALAH Fenomena Aphelion Penyebab Cuaca Dingin di Indonesia,FAKE,TurnBackHoax.id,News,58
VIDEO: Terpesona Alta Moda dan Alta Sartoria dari Dolce Gabbana,REAL,CNN Indonesia,News,63
"Aturan Stablecoin Disahkan, Pemerintah AS mulai Atur Kripto Rasa Dollar",REAL,Kompas.com,News,71
"Ratusan UMKM Go Digital, Ini Perjalanan Kiki Abdul Rachman Merintis Dimaloka",REAL,Kompas.com,News,76
Komunikasi Publik Dedi Mulyadi di Balik Musibah: Tak Tahu Ada Makan Gratis?,REAL,Kompas.com,News,75
Transjakarta Rute Blok M- Ancol Ditargetkan Launching Agustus 2025,REAL,Kompas.com,News,66
Mengenal Early Redemption SBR014: Bisa Cairkan Investasi Sebelum Jatuh Tempo,REAL,Kompas.com,News,76
SALAH Tom Lembong Dibebaskan Tanpa Syarat,FAKE,TurnBackHoax.id,News,41
"SALAH Tubuh Mantan Presiden Israel, Ariel Sharoon Membusuk",FAKE,TurnBackHoax.id,News,58
Korban empat tewas kebakaran Tebet adalah anak-anak,REAL,Antara News,News,51
Pendiri PSI Cerita Ade Armando Dapat Belasan Jahitan: Nyaris Saja...,REAL,Kompas.com,News,68
SALAH Video Pesan Militer Iran untuk Rakyat Indonesia,FAKE,TurnBackHoax.id,News,53
"Lari Bisa Jadi Bumerang Jika Abaikan Sinyal Tubuh, Ini Gejala yang Harus Diwaspadai",REAL,Kompas.com,News,83
SALAH Ratusan Kapal Perang Cina Tiba di Timur Tengah,FAKE,TurnBackHoax.id,News,52
4 Fitur AI yang Bisa Diakses Langsung dari Cover Screen Samsung Galaxy Z Flip 7,REAL,Kompas.com,News,79
SALAH Potret Prabowo dan Perwakilan Belanda Bahas Kemerdekaan Papua-Aceh,FAKE,TurnBackHoax.id,News,72
PENIPUAN Tautan Pendaftaran Bantuan Subsidi Upah,FAKE,TurnBackHoax.id,News,48
Menggaungkan Suara Lebih Lantang dari Negara-negara di Selatan Dunia,REAL,Kompas.com,News,68
"Konversi Toyota Starlet EP81 ke EP82, Gaya Jepang yang Penuh Detail",REAL,Kompas.com,News,67
